key,term
oop.debates_HOC2501_02,"5,12,386,387"
oop.debates_SDC1805,"1,2,305,430"
oop.debates_SOC0101,"5,6,7,200"
oop.debates_CDC1903,"1,9,347,531"
oop.debates_HOC1902_01,"5,12,337,379"
oop.debates_HOC3301_06,"5,12,358,692"
oop.debates_HOC1903_20,"5,12,337,507"
oop.debates_SOC0802,"5,6,34,43"
oop.debates_SDC2203,"1,2,313,314"
oop.debates_CDC3403_09,"1,9,23,24"
oop.debates_SDC1702_01,"1,2,410,470"
oop.debates_SOC1302_01,"5,6,233,654"
oop.debates_SDC1905_01,"1,2,449,639"
oop.debates_HOC2804,"5,12,245,447"
oop.debates_HOC0701_01,"5,12,70,135"
oop.debates_HOC2003_04,"5,12,302,383"
oop.debates_HOC3301_04,"5,12,358,692"
oop.debates_CDC1804,"1,9,237,652"
oop.debates_SDC3001,"1,2,315,316"
oop.debates_SOC0801,"5,6,34,35"
oop.debates_CDC1906,"1,9,347,641"
oop.debates_SOC3002,"5,6,290,642"
oop.debates_SDC3002_01,"1,2,315,530"
oop.debates_CDC1703_01,"1,9,286,581"
oop.debates_HOC3002_20,"5,12,349,576"
oop.debates_SOC2106,"5,6,271,272"
oop.debates_SOC0303_03,"5,6,49,108"
oop.debates_SOC0705_07,"5,6,39,171"
oop.debates_CDC1804_04,"1,9,237,652"
oop.debates_CDC1003_20,"1,9,249,421"
oop.debates_CDC2902_20,"1,9,275,597"
oop.debates_HOC0705,"5,12,70,150"
oop.debates_CDC1904_02,"1,9,347,393"
oop.debates_CDC2603,"1,9,231,378"
oop.debates_HOC2106_03,"5,12,327,336"
oop.debates_CDC2107_03,"1,9,299,612"
oop.debates_CDC1903_02,"1,9,347,531"
oop.debates_SDC0101_02,"1,2,60,61"
oop.debates_HOC1001_05,"5,12,273,377"
oop.debates_CDC3301_08,"1,9,609,663"
oop.debates_CDC1806_01,"1,9,237,238"
oop.debates_SDC2202_01,"1,2,313,578"
oop.debates_HOC1002_04,"5,12,273,274"
oop.debates_HOC1205_02,"5,12,370,371"
oop.debates_SOC1806,"5,6,548,595"
oop.debates_SDC3301_03,"1,2,404,409"
oop.debates_CDC3402_05,"1,9,23,28"
oop.debates_HOC2004_06,"5,12,302,589"
oop.debates_SDC0801,"1,2,3,4"
oop.debates_HOC2101,"5,12,327,340"
oop.debates_CDC0803_01,"1,9,96,152"
oop.debates_CDC3501_07,"1,9,206,211"
oop.debates_HOC2701_09,"5,12,384,508"
oop.debates_SOC3302_01,"5,6,439,440"
oop.debates_SOC1303,"5,6,233,544"
oop.debates_SDC1304,"1,2,454,543"
oop.debates_HOC1202_01,"5,12,370,498"
oop.debates_HOC1304_04,"5,12,229,551"
oop.debates_HOC0104_01,"5,12,51,109"
oop.debates_HOC1705_20,"5,12,261,262"
oop.debates_SOC0704,"5,6,39,134"
oop.debates_HOC0501_01,"5,12,19,178"
